file,aes_mad,caes_mad,original_mad
7.jpg,120.18365478515625,131.9609375,20838.20526123047
9.jpg,120.8671875,123.296875,25365.03125
2.jpg,127.09881591796875,126.5438232421875,20641.130920410156
10.jpg,177.515625,177.9140625,59375.21875
6.jpg,218.421875,216.3671875,75763.390625
5.jpg,235.9324951171875,217.86941528320312,51638.740142822266
4.jpg,239.0234375,246.7421875,133378.890625
8.jpg,265.8375244140625,269.060791015625,70252.71496582031
1.jpg,232.46875,237.5859375,73373.2109375
3.jpg,273.421875,287.3671875,93432.453125
