filename,right_aes_corr,right_caes_corr,bottom_aes_corr,bottom_caes_corr,diagonal_aes_corr,diagonal_caes_corr
2.jpg,0.00030067230319839297,-4.1396798796619977e-05,5.7098263069350024e-05,0.00026575137506278763,-3.444255718810791e-05,-0.000479847013604051
1.jpg,0.00017131363223616043,-2.7981598703542613e-05,-4.862348446862282e-05,3.149662129487379e-05,-0.00024523275113357,-9.643730955948433e-05
4.jpg,-0.00012519615477508673,0.00014930497016053573,-2.16439534631594e-05,0.0001229346572224318,-0.00030490322026495046,-0.0003600278143989911
5.jpg,-7.776489756941518e-05,-0.00012032728854003598,-0.00029572304768919343,-0.0002475770892327739,-0.0002224258563574625,0.0002302307819956973
3.jpg,0.00015160101475917878,-0.00022017602977113043,-6.92344904888122e-05,-0.00015633108306702502,-0.0004260747099210089,-4.7262682998998845e-05
7.jpg,-0.00010260853782211322,5.985699421875618e-05,0.000313308882259865,0.0003811599873782061,0.00045423170103045806,-0.0002106960592271293
9.jpg,-7.182398406078095e-05,0.0002015162601909299,-0.00031766519498444224,-0.0001863391850410487,0.00012268155362440308,-0.0007087082791718479
6.jpg,0.00034122150556332455,-3.322611476463039e-05,-0.0003033157929891168,-0.00018083198340576516,0.0005580454651635934,9.544294781936498e-05
10.jpg,-0.00010800285092885013,-0.0004982656982979218,-0.0005389736059914119,3.57309047119451e-05,7.372679682152741e-05,-0.0007628247923323873
8.jpg,0.00019759851855801586,-0.00014857312050963335,0.00010483270008264297,-0.0003203033757588982,-0.0003386939541169125,0.00010964895157912513
